Unnamed: 0,Cloth_Desc,Price
0,Women's Gloria Vanderbilt Amanda Classic Jeans,24.99
1,Women's Sonoma Goods For Life® Supersoft Stretch ...,18.79
2,Women's Sonoma Goods For Life® Supersoft Midrise ...,18.79
3,Women's Sonoma Goods For Life® Midrise Bootcut Jeans,24.99
4,Women's Sonoma Goods For Life® Straight-Leg ...,18.79
5,Plus Size Gloria Vanderbilt Amanda Classic Jeans,29.99
6,Women's Lee® Wrinkle-Free Relaxed Fit Straight-Leg ...,34.99
7,Women's Levi's® Classic Straight-Leg Jeans,48.65
8,Women's Tek Gear® Ultrasoft Fleece Sweatshirt,16.74
9,Bali® Comfort Revolution® ComfortFlex Fit® Shaping ...,48
10,Women's Lee® Relaxed Fit Straight-Leg Jeans,39.99
11,Women's Nine West Pull-On Jeggings,29.99
12,Women's Nine West Relaxed Blazer,48
13,Playtex® 18 Hour Ultimate Comfort Strap Full-Figure ...,21.99
14,Juniors' WallFlower Insta Stretch® Luscious Curvy ...,34.99
15,Women's Sonoma Goods For Life® Everyday V-Neck Tee,9.99
16,Women's Sonoma Goods For Life® Midrise Leggings,8.5
17,Women's Sonoma Goods For Life® Everyday Crewneck Long ...,11.99
18,Women's Nine West Magic Waist Barely Bootcut Pants,38.99
19,Vanity Fair® Beauty Back Back Smoother Full-Figure ...,50
20,Playtex® 18-Hour Ultimate Lift & Support Wireless ...,21.99
21,Women's Levi's® Classic Bootcut Jeans,48.65
22,Women's LC Lauren Conrad Feel Good High-Waist Skinny ...,39.99
23,Women's Croft & Barrow® Classic Pull-On Jeans,27.99
24,Women's Sonoma Goods For Life® Cargo Utility Capri ...,36
25,Women's Nine West Essential V-Neck Tee,8.92
26,Women's Croft & Barrow® Open-Front Cardigan,32.99
27,Women's Croft & Barrow® Smocked Swing Midi Dress,32.99
28,Women's Levi's® 721™ High Rise Skinny Jeans,38.23
29,Women's Nine West V-Neck Tank,16.04
30,Women's Tek Gear® Ultrasoft Fleece Pants,22.99
31,Juniors' SO® Favorite V-Neck Short Sleeve Tee,7.39
32,Women's Tek Gear® High Slit Tunic Tee,19.99
33,Women's Lee® Instantly Slims High Waisted ...,37.99
34,Women's Nine West High Slit Duster Cardigan,29.99
35,Women's Nine West Drapey Button Down Shirt,36.99
36,Bali® Passion For Comfort Full-Figure Minimizer Bra ...,48
37,Women's Croft & Barrow® Pull-On Girlfriend Jeans,29.99
38,Women's Lee® Relaxed Fit Straight-Leg Twill Pants,39.99
39,Women's Sonoma Goods For Life® Paperbag Waist Capri ...,36
40,Women's LC Lauren Conrad Feel Good Midrise Skinny ...,39.99
41,Bali® Comfort Revolution Wireless Bra 3463,48
42,Petite Croft & Barrow® Classic Pull-On Jeans,27.99
43,Women's Sonoma Goods For Life® Tunic Layering Tank ...,9.99
44,Women's Nine West Seamed Tummy-Control Ponte ...,26.99
45,Women's Simply Vera Vera Wang Pull-On Ankle Pants,39.99
46,Women's Cuddl Duds® Velour Fleece V-Neck Pajama Top ...,26
47,Petite Gloria Vanderbilt Amanda Classic Jeans,24.99
48,Women's Sonoma Goods For Life® Everyday V-Neck Long ...,11.99
49,Women's Sonoma Goods For Life® High-Waisted Boyfriend ...,34.99
50,Women's Columbia Benton Springs Zip-Front Fleece ...,44.99
51,Women's Sonoma Goods For Life® Three-Quarter Sleeve ...,29.99
52,Petite Women's Croft & Barrow® Effortless Stretch ...,34.99
53,Women's Sonoma Goods For Life® Crewneck Tee,9.99
54,Women's Nine West Ribbed Tank,11
55,Women's LC Lauren Conrad Feel Good Midrise Super ...,39.99
56,Women's Gaiam Zen Bootcut Yoga Pants,38.5
57,Women's Levi's® Low Pro Jeans,55.65
58,Tek Gear® Zip-Front Medium-Impact Sports Bra,24.99
59,Juniors' SO® Favorite Jogger,27.99
60,Women's Simply Vera Vera Wang Live-In Shaping High ...,30
61,Women's Croft & Barrow® The Extra Soft V-Neck ...,21.6
62,Women's Croft & Barrow® Essential Comfort Stretch ...,28.8
63,Women's Sonoma Goods For Life® Cinched Knit Jogger ...,29.99
64,Bali® One Smooth U Ultra Light Convertible ...,48
65,Juniors' SO® High-Rise Jegging,22.39
66,Women's Levi's® 311™ Shaping Skinny Jeans,48.65
67,Olga® by Warner's® Bras: Cloud 9 Full-Figure 2-ply ...,42
68,Women's Tek Gear® French Terry Joggers,24.99
69,Juniors' SO® Low-Rise Jeggings,24.99
70,Women's Croft & Barrow® Elbow-Sleeve Splitneck Top,24
71,Women's LC Lauren Conrad Shawl Collar Blazer,59.99
72,Juniors' WallFlower Insta Soft™ Ultra Skinny Jeans,34.99
73,Plus Size LC Lauren Conrad Mid-Rise Skinny Jeans,19.99
74,"Women's Sonoma Goods For Life® 3-piece Pajama Top, ...",40
75,Nine West Essential Easy High-Neck Tank,11.99
76,Women's Tek Gear® Performance Core Crewneck Tee,14.99
77,Warners Signature Support Cushioned Underwire for ...,46
78,Women's Tek Gear® French Terry Straight-Leg Pants,24.99
79,Bali® Comfort Revolution Full-Figure Front-Closure ...,48
80,Women's Nine West Ribbed Long Sleeve Dress,35
81,Women's Nine West Essential Crewneck Tee,11.99
82,Women's Sonoma Goods For Life® Super Soft Solid Tunic ...,34.99
83,Women's LC Lauren Conrad Feel Good High-Waist Super ...,39.99
84,Women's Nine West Texture Sleeve Sweater,29.99
85,Women's Sonoma Goods For Life® High-Waisted Flare ...,11.99
86,Plus Size Women's Croft & Barrow® Effortless Stretch ...,27.3
87,Plus Size Croft & Barrow® Essential Crewneck Long ...,12.99
88,Women's Tek Gear® Performance Jacket,34.99
89,Bali® One Smooth U Smoothing & Concealing Contour Bra ...,46
90,Women's Tek Gear® Core Crewneck Tank,14.99
91,Plus Size Tek Gear® Performance Core V-Neck Tee,14.99
92,Women's Nine West Slimming Skinny Jeans,34.99
93,Women's Sonoma Goods For Life® Cozy Pajama Pants,22.5
94,Maidenform® One Fabulous Fit® Underwire T-Shirt Bra ...,48
95,Women's Lee® Flex Motion Straight-Leg Jeans,41.99
96,Women's Croft & Barrow® Effortless Stretch Capri ...,36
97,Women's Croft & Barrow® Pleated V-Neck Tank,30
98,Warners Easy Does It® Underarm-Smoothing with ...,42
99,Women's Lee® Legendary Straight Jeans,34.99
100,Women's Simply Vera Vera Wang Roll-Tab Sleeve Popover ...,36
101,Women's LC Lauren Conrad High-Waist Skinny Ankle ...,39.99
102,Women's Nine West Long Sleeve Twist Front Top,36.99
103,Juniors' SO® Oversized Zip-Up Hoodie,32.4
104,Women's Croft & Barrow® Essential Crewneck Tee,11.99
105,Maidenform® Love the Lift® Natural Boost Push-Up Bra ...,44
106,Women's Nine West Slimming Bootcut Jeans,34.99
107,Vanity Fair® Beauty Back Back Minimizer Bra 76080,50
108,Plus Size Jockey® Elance 3-pk. Briefs Panty Set 1486,24
109,Women's Sonoma Goods For Life® Wide-Waist Capri ...,16
110,Women's Nine West Midi Shirt Dress,54
111,Juniors' WallFlower High-Rise Sassy Ankle Jeggings,39.99
112,Maidenform® One Fab Fit® Extra Coverage Lace T-Back ...,44
113,Bali® Double Support Spa-Closure Comfort-U Wireless ...,44
114,Women's Simply Vera Vera Wang High-Rise Ponte Bootcut ...,25.99
115,Juniors' SO® Crossover Waistband Flare Legging,20.29
116,Women's Sonoma Goods For Life® Button Front Tiered ...,35.2
117,Women's Sonoma Goods For Life® Everyday Camisole,7.99
118,Women's Nine West Essential Soft-Spun Long Sleeve ...,17.99
119,Women's Simply Vera Vera Wang Roll-Tab Relaxed ...,62.99
120,Women's Nine West Dolman Sleeve Wrap Dress,36
